title,developer,publisher,tags,overview
Trove,Trion Worlds ,Trion Worlds ,"['Free to Play', 'Open World', 'Multiplayer', 'Adventure', 'Massively Multiplayer', 'MMORPG', 'Building', 'Sandbox', 'Action', 'Pixel Graphics', 'RPG', 'Crafting', 'Third Person', 'Exploration', 'Co-op', 'Dungeon Crawler', 'Voxel', 'Funny', 'Casual', 'FPS']",grab your friend hone your blade and set off for adventure in trove the ultimate action mmo battle the force of shadow in realm fill with incredible dungeon and item create by your fellow player whether hunt treasure in far off land or building realm of your own its never be this good to be square cubular classesplay as a knight gunslinger ice sage dracolyte pirate with a parrot or any or all of the other class in trove while master ability from deadly ninja technique to deliciously deadly ice cream crush upgrade your gear to tackle epic challenge and strut your stuff with killer look infinite realmsexplore through fully destructible realm on the back of fire breathing dragon and purrfectly whiskered meownt jump into action tailor to any level as you conquer untamed wild from the treasure isles to candoria home of the sweet toothed candy barbarian delve into dungeonsassemble a group of hardy cube kind and crawl your way through huge dungeon unique to each realm brave deadly minion boss and trap to liberate powerful armor and weapon or dip into small lair for single serving of danger perfect for solo fun get rich with lootrake in a shimmering hoard of treasure and collectible item from the deep and dark place in trove load up on special gear costume decoration recipe craft ingredient fly carpet sea fare ship and dragon of mighty renown build your home cornerstone be personal home you can build block by block but they be also mobile basis drop your cornerstone at specially mark plot in any world you be visit and voila your hand craft home away from home will appear give you a place to kick back relax and craft to your heart content build a world what s well than craft alone build entire new club world with friend feel like make enormous geodesic dome in the desert magnificent castle in the sky do it and land yourself in our list of the cubic masterpiece in trove build anything in the game dragon check bacon sword yup rainbow grade 3d glass of insufferable doom just the tip of the iceberg collect a huge range gear make by your fellow player and make and submit your own item include dungeon lair class costume and more plusmusic block meownt fishing farming pet sail with boat fly with wing mag train dance pad hero villain ally who may be villain flask bomb pinata party and the crafting of any and all thing do we mention its free to play
Neverwinter,Cryptic Studios ,Perfect World Entertainment ,"['Free to Play', 'MMORPG', 'RPG', 'Massively Multiplayer', 'Adventure', 'Action', 'Multiplayer', 'Fantasy', 'Open World', 'Character Customization', 'Co-op', 'PvP', 'Dragons', 'Dungeons & Dragons', 'Third Person', 'Action RPG', 'PvE', 'Atmospheric', 'Hack and Slash', 'Zombies']", 
Realm Royale,Heroic Leap Games ,Hi-Rez Studios ,"['Early Access', 'Battle Royale', 'Free to Play', 'Multiplayer', 'Survival', 'Shooter', 'PvP', 'Early Access', 'Third-Person Shooter', 'Action', 'Third Person', 'Competitive', 'Team-Based', 'FPS', 'Fantasy', 'Massively Multiplayer', 'Co-op', 'Open World', 'Online Co-Op', 'Memes']",explore a fantasy world in realm royale the new battle royale sensation choose your class loot fantastic weapon and magical ability and work with your squad to win stay ahead of the deadly fog by mount up and move out will you be the last champion standing call your friend its time to squad up help your team by drop a healing totem or fire a flare into the sky to reveal incoming enemy by work together as a team the crown royale could be yours discover powerful ability scatter across the realm soar through the sky sling spell while your team deploy deadly turret and shield flank the enemy with the stealthy ghost walk leave behind a proximity mine for them to discover when its too late customize your champion each game with the ability best suit for the battle at hand go traditional with shotgun and sniper or embrace the fantasy with ice staff sword and crossbow if you want to win you will need to use the forge scatter across the realm to craft powerful rune epic gear or bring back your fallen teammate but be careful while you be craft your enemy may attack journey through the lush jungle of jaguar claw and the scorched sand of goblin gulch visit frigid everfrost and iridescent fungal forest the good part you do not have to walk around this massive realm just summon your mount to outrun the fog and ride into your next glorious battle
PlanetSide 2,Daybreak Game Company ,Daybreak Game Company ,"['Free to Play', 'Massively Multiplayer', 'FPS', 'Shooter', 'Action', 'Open World', 'Multiplayer', 'Team-Based', 'Sci-fi', 'Tactical', 'War', 'First-Person', 'Futuristic', 'PvP', 'Co-op', 'Online Co-Op', 'Strategy', 'Space', 'Adventure', 'RPG']",planetside 2 be a free to play massively multiplayer online first person shooter mmofps empire and their soldier battle in an all out planetary war on a scale never before see in stunning breathtaking detail planetside 2 battle persist and the war never end offer constant challenge of individual skill team grit and empire wide coordination take up arm and drop into intense infantry vehicle and air combat player come together in enormous battle across four massive continent to win control of critical territory gain key resource for their empire with an extensive skill tree and class base system player can customize their soldier weapon and vehicle to match their playstyle and meet the need of their squad outfit and empire in the world of planetside 2 every soldier make a difference three war empire player will choose to align with one of three empire the militaristic authoritarian terran republic the rebellious freedom fight new conglomerate or the technocratic alien influence vanu sovereignty each empire have access to empire specific weapon attachment vehicle ability and more massive warfare battle take place not between dozen of soldier but between hundred they fight on foot they pile into vehicle they take to the sky in devastating aircraft each battleground hold valuable resource and strategic position and the empire that can conquer and hold these territory will be reward with the resource and the mean to achieve victory enormous map planetside 2 feature four incredible and diverse continent map with dozen of square kilometer of seamless gameplay space every inch of which be hand craft and contestable whether in open field barren desert in armed and armored basis or in the sky victory will rely on know your surrounding persistence that pay in planetside 2 the war be not win by a single base capture the core gameplay of planetside 2 be about hold crucial territory and control resource work strategically as a team to secure tactical position have long lasting effect that can shift the tide of battle class base combat player can build their soldier to match want and their ally need six distinct class provide a wealth of squad option and combat tactic grow your soldier over time as you master each combat role weapon and vehicle laterally unlock hundred of weapon attachment gear skill vehicle and more heavy assault rush into the battle gun blaze you be the dedicated foot soldier of auraxis light assault go where the heavy can not with your short burst jetpack pick a high spot throw a grenade and out maneuver your foe combat medic keep your fellow soldier alive and in fighting shape you be the beat heart of any squad infiltrator stay silent stay invisible you be death from the shadow whether with a knife from behind or a single shot from a sniper nest you be the enemys constant fear engineer deploy crucial equipment resupply your ally fix the thing then fix it again you keep the machine run the tank fire and the war effort move forward max step into your mechanized assault exo suit max cannon for hand armor for flesh and a disposition to match you be a walk mass of nigh unstoppable death outfit teamwork join or form your own outfit a like minded group of soldier who train together day in and day out whether a small rapid response team or a massive clan outfits be vital to each empire strategic organization vehicle weapon train and equip your solider how you want with a huge array of weapon and vehicle which can be extensively customize by preference or purpose use attachment upgrade and add on earn in the war play for free planetside 2 be free to play with optional in game purchase
VEGA Conflict,KIXEYE ,KIXEYE ,"['Free to Play', 'Space', 'Strategy', 'Massively Multiplayer', 'Sci-fi', 'Multiplayer', 'Open World', 'RTS', 'War', 'Action', 'Base Building', 'PvP', 'Singleplayer', 'Survival', 'Co-op', 'Adventure', 'Shooter', 'Sandbox', '2D']",stake your claim command your fleet and wage epic war in space band together with other player in a bloody rebellion to take back the galaxy from the evil vega federation customize your war different target call for different strategy outfit your fleet for victory real time pvp real war do not wait its turn attack enemy at will in real time battle anywhere conflict never end continue your progress on phone tablet or in browser
Minion Masters,BetaDwarf ,BetaDwarf ,"['Early Access', 'Strategy', 'Card Game', 'Multiplayer', 'PvP', 'Real-Time', 'Indie', 'Free to Play', 'Real Time Tactics', 'Action', 'Competitive', 'Early Access', 'Fantasy', 'Blood', 'Top-Down', 'Controller', 'Trading Card Game', 'Singleplayer', 'Tower Defense', 'Strategy RPG']",engage in epic 1v1 or 2v2 battle in this fast pace strategic minion brawler that be easy to pick up but hard to master in minion master there be many different master with unique hero ability and you collect awesome minion like fierce demon cute creature devastating spell and much more utilize your minion to destroy the enemy master when a minion have be summon they can no longer be control so place them wisely to win game modes1v1 fight against other player and see how far your skill can take you the rank of grandmaster await if become one of the good 2v2 join with your friend or queue up with stranger to take down other team in this super intense 2v2 action twice the minion twice the action 1v1 draft build your deck from a random selection of card each run you gain well reward if you defeat more opponent but be careful 3 loss and you be out mayhem new crazy rule to try out every week expedition rewarding and challenging journey solo challenge hone your skill by practice against ai master legendary masterslearning how to use your master ability to their full potential and build your deck around them be crucial for victory each master have their own unique personality and play style with opportunity for all kind of strategy only the most determined player learn to use a master to their great potential unlock and craft mighty minion and spicy spell over 100 unique card minion spell building with more be add all the time like the peace love mana puff that give you extra mana when it be happy which be always or the troubadour who refuse to do anything but play his bagpipe make all the other minion attack him regardless of what else be go on just to make it stop of course you could also get the undying skeleton who come back to life after you kill it free expansion we be constantly add new content to the game it be a priority for us that you will always have new stuff to experience and master a lot of our new content come from our regular big expansion pack they contain new card skin avatar emote or even new master and be release roughly every two month expeditionsnew expedition appear in the game all the time travel around the world of minion master to explore new world fight other player and defeat pve challenge that lead to epic loot eventswe believe in create a forever fun and always engage experience in minion master so we regularly spice thing up with new event that last for a limited time they range from challenge friend event tournament to new game mode bonus quest and many more communitywe have a thrive community in our steam forum and in game where both developer and player answer question discuss and help you learn the game come join us now cosmeticscustomize your character with epic skin you can even change your side of the playing area to a look that suit you by swap your arena with a new one want to fight on a lava world maybe in a sunken temple or a graveyard there be many option and the choice be yours e sportsseveral community drive tournament have emerge around the game different tournament happen every month some for cash prize other for in game currency or just brag right be you the good prove it participate in minion master e sport you can read more about this and other amazing stuff on our blog streamer featurewith the twitch feature you can link your twitch account by win our special streamer event you can get reward for you and your viewer we also feature twitch streamer in the game so people can see who be stream feature list1v1 ranked2v2 ranked2v2 premade rankeddraftpve challenges9 master more come soon 100 card minion more come soon eventsactive communitye sports scenecrafting systemingame chat and emote recur stream eventmaster skin more come soon custom arena skin more come soon replay expedition rapid game update collect your own arena season ranking gorgeous 3d visual that we be always update and work on pick one of a bajillion strategiesdid we mention the puff there s even a king puff gameplay descriptioneach player have a pool of mana and a deck of 10 card minion spell building a card can costs between 0 10 mana and your mana regenerate over time during the match there be 2 bridge in the middle that you need to capture and hold they generate experience so your hero can level up his ability before the enemy you place minion on your side of the arena and the goal be to have them destroy the enemys tower minion have mind of their own and once you have summon them they can no longer be control so place them wisely most minion have unique ability a few example of this be aoe damage healing teleporting mana regen fly and many more spell can be use to change the flow of the game in your favour spell such as healing mind control or stun can be devastating in the hand of a skilled player each hero have unique ability that change the game drastically as they become active awareness strategy and dedication be need if you want to become great at the game join in and have fun in our amazing world of minion master the betadwarf team
Realm of the Mad God,"Wild Shadow Studios, Deca Games ",Deca Games ,"['Free to Play', 'Massively Multiplayer', 'Pixel Graphics', 'RPG', 'Perma Death', 'Multiplayer', 'Bullet Hell', 'MMORPG', 'Action', 'Indie', 'Rogue-like', 'Open World', '2D', 'Adventure', 'Difficult', 'Survival', 'Co-op', 'Retro', 'Strategy', 'Casual']",realm of the mad god be the first ever free to play bullet hell mmo team up with dozen of player and battle through the realm of the mad god oryx with a retro 8 bit style realm be an evolution of traditional mmo gameplay a dozen class and hundred of item to discover mean realm be easy to play but difficult to master player can jump in realm for 5 minute or stay online for hour because there be nothing to install or download key featuresaction combat no turn base battle here only skilled run and gun epic boss battle navigate demented wave of bullet from nasty demon true cooperative play all experience be share and you win by play together great 8 bit art retro styling straight from the 8 bit era over a dozen unique character class play as a powerful wizard a clever mystic a brawl warrior loot hundred of weapon potion armor and ring permadeath die well mean something in realm earn fame if you survive for long enough and kill enough monster sheep the sheep say baa
Elsword,KOG ,KOG Games ,"['Free to Play', 'Anime', 'RPG', 'Action', 'MMORPG', 'Adventure', 'Massively Multiplayer', 'Fighting', 'Multiplayer', 'Side Scroller', 'PvP', 'Online Co-Op', 'Cute', 'Hack and Slash', 'Fantasy', '2D', 'Casual', 'Co-op', ""Beat 'em up"", 'Platformer']",elsword be a free to play online action rpg that use classic side scroll beat em up gameplay mechanic and deep customization to bring a unique manga experience to life in elsword you star in your own comic book while experience all the excitement of a massively multiplayer online game get ready for fast pace gameplay stunning animation and epic boss whether conquer horde of enemy in dungeon run or show off your skill in the pvp arena elsword be the most intense free to play action rpg to date key featuresco op gameplay party up with friend to explore over 50 unique and beautifully render dungeon town and secret level unique character unique story player can choose from thirteen customizable character each their own unique story play style and special skill to develop skill base pvp combat elsword offer intense and strategic pvp with matchmaking and multiple competitive mode challenge your friend in match of up to 8 player at a time customize like crazy each character feature multiple job change dozen of skill and endless opportunity for customization create or discover your personal look community support constant game update item and content expansion and special event include gm livestream play session community contest and pvp tournament be all a part of the elsword experience
The Lord of the Rings Online™,"Standing Stone Games, LLC ","Standing Stone Games, LLC ","['Free to Play', 'MMORPG', 'Massively Multiplayer', 'RPG', 'Fantasy', 'Open World', 'Adventure', 'Multiplayer', 'Based On A Novel', 'Action', 'Exploration', 'Character Customization', 'Story Rich', 'Co-op', 'Online Co-Op', 'Third Person', 'Survival', 'PvP', 'Singleplayer', 'Dark Fantasy']",in the lord of the ring onlinetm join the world great fellowship of player in the award win online re creation of j r r tolkiens legendary middle earth from the crumble shadow ruin of weathertop to the ageless golden wood of lothlorien immerse yourself in middle earth as you have never see it before visit the peaceful verdant field of the shire brave the dark depth of the mine of moria and raise a pint at the prance pony in bree key feature explore the massive world of middle earth immerse yourself in the award win recreation of the beloved fantasy world of j r r tolkien through renowned location include the shire the mine of moria and lothlorien create advance your hero advance to level 105 with thousand of character customization possibility 4 race 9 class 10 profession 7 vocation plus over 1 000 title skill and traitssolo co op skirmish dive into instant adventure alongside friend or customizable ai soldier in exciting scalable battle legendary item design and customize your own legendary weapon of immense power like bilbos sting or gandalf glamdre play as a monster fight as a servant of sauron against other player in intense pvmp combat craft your own gear farm crop in the fertile field of the shire or let your hammer ring in the dwarven hall ere luin free online play no monthly fee require
Fishing Planet,Fishing Planet LLC ,Fishing Planet LLC ,"['Free to Play', 'Fishing', 'Simulation', 'Multiplayer', 'Sports', 'Massively Multiplayer', 'Realistic', 'Relaxing', 'Co-op', 'First-Person', 'Early Access', 'Singleplayer', 'Open World', 'Online Co-Op', 'Family Friendly', 'Adventure', 'Casual', 'FPS', 'MMORPG', 'Action']",fishing planet be a unique and highly realistic online first person multiplayer fishing simulator develop by avid fishing enthusiast for angler to bring you the full thrill of actual angling choose your lur make your trophy catch discover new possibility and sharpen your real angling skill anywhere anytime with your friend the game be free to play and just a download away fishing planet be not just another game about fish stunning eye candy graphic superb hydro and aerodynamic realistic tackle behavior and damage base on actual simulation physic and most importantly fish with artificial intelligence for completely lifelike behavior make this a true to life fishing simulator that can help you improve your actual angling skill the combination of unique graphic realistic game physics and sophisticated ai will bring the realistic world of fishing directly to your screen key feature 110 specie of fish each with its unique behavior and ai 17 scenic waterway with multiple location various climatic condition bottom terrain and vegetation three type of fishing float spinning and bottom thousand of tackle combination with unique physical and hydrodynamic property superb dynamic water graphic with ripple and surface that change depend on wind current and depth weather day night alternation change of season different weather condition rain fog bright sunshine multiplayer capacity online tournament with personal and team score system of achievement leader board and top player list what make us different complex ai system for fish behavior that correlate with seasonal and climatic change time of day speed of water current bottom contour and type color and structure water and air temperature wind etc bite striking reaction for each fish specie be completely realistic and natural as well as specific of lure attack photorealistic graphic use late high end tool for ultimate photo realism photogrammetry all waterway be base on real location unique system of game physics and realistic tackle damage rod line and reel break accord to their actual individual characteristic realistic aero and hydrodynamic environment for lur and retrieve dynamic water graphic splash wave and ripple on the water create a fully realistic fishing atmosphere weather change of condition depend on location season and time of day possibility of sudden rain or sunshine break through the cloud
Crush Crush,Sad Panda Studios ,Sad Panda Studios ,"['Free to Play', 'Anime', 'Sexual Content', 'Nudity', 'Dating Sim', 'Clicker', 'Mature', 'Cute', 'Casual', 'Singleplayer', 'Funny', 'Romance', 'Visual Novel', 'Comedy', 'Memes', 'Indie', 'Female Protagonist', 'Resource Management', 'Strategy', 'Early Access']",hey hot stuff be you look for a fun and flirty game to kill some time and make you laugh out loud that s a crazy coincidence because its be look for you welcome to crush crush the idle dating sim begin your quest to win the heart of your town lovely lady after a disastrous intro or two to do it you will have to build your stat unlock amazing new job and then sweep your waifu off her foot with exotic date the perfect gift or maybe a tickle fight or two
Dungeon Defenders II,Trendy Entertainment ,Trendy Entertainment ,"['Free to Play', 'Tower Defense', 'Multiplayer', 'Co-op', 'Strategy', 'RPG', 'Action', 'Online Co-Op', 'Fantasy', 'Adventure', 'Third Person', 'Funny', 'Early Access', 'Indie', 'Singleplayer', 'Massively Multiplayer', 'Casual', 'Hack and Slash', 'MMORPG', 'MOBA']",etheria be under attack build mighty defense to freeze burn and disintegrate your foe then grab a sword and jump into the action level up a team of hero deck them out in loot and destroy the horde by yourself or in four player online co op create a team of heroeswizards robot thief recruit a cast of character to join you on your quest to save etheria each hero bring unique ability and defense to the battlefield swap between your hero on the fly to use all of their tool even in combat build your defensesconstruct a deadly grid of laser beam drown your foe in quicksand build a wall of flamethrower and watch the world burn you sicko a wide variety of defense be at your disposal and you will need them all to protect the eternia crystal from the old one army shoot and lootleap into battle and get your hand dirty grab a sword a bow or a laser shotgun to blast through horde of enemy as you play you will find loot and shard to equip and customize your hero with just beware of the goblin blood as much as you scrub the smell never go away see the sightsin your journey you will visit ancient forest massive castle haunt temple active volcano and a surprisingly small number of dungeon for a game name dungeon defender ii bring a friend or 3 dungeon be not mean to be defend alone invite your friend to join you in etheria for four player online co op more update on the way as we do in early access we be go to add more hero map loot and thing to do and we will continue to listen to you about how to improve dungeon defender ii
theHunter Classic,"Expansive Worlds, Avalanche Studios ","Expansive Worlds, Avalanche Studios ","['Free to Play', 'Hunting', 'Multiplayer', 'Open World', 'Simulation', 'Shooter', 'Co-op', 'First-Person', 'Survival', 'Realistic', 'Online Co-Op', 'Sports', 'Adventure', 'FPS', 'Singleplayer', 'Action', 'Stealth', 'Strategy', 'Massively Multiplayer', 'Casual']",the most realistic online hunting game ever create be available now for free experience the thrill of the hunt in vast open world environment range from the desolate australian outback and overgrown swamp of louisiana to the dramatic landscape of the austrian alps as a hunter you will use everything from crossbow to handgun and state of the art bolt action rifle to track spot and harvest your prey realistic animal behavior and persistent online feature provide a live open world where you can explore at your own pace or compete with other player for bragging right key featuresthehunter classic be first release in 2009 and be still continuously update with new weapon species environment equipment and feature there s a treasure trove of content for hunter to discover here and more be still come hunt 44 lifelike specie all recreate in painstaking detail from look to behaviour specie include bobcat black bear brown bear polar bear moose whitetail deer turkey pheasant coyote red fox roosevelt elk wild boar red deer roe deer mule deer blacktail deer feral hog mallard canada goose cottontail rabbit reindeer alpine ibex european rabbit red kangaroo bison snowshoe hare arctic fox sitka deer gadwall american black duck and northern pintail just to name a few explore 11 vast and endlessly varied environment with detailed graphic complete with a full day cycle and immersive weather effect from the sub arctic alaska to the swamp of louisiana form a hunting team and experience co op multiplayer with up to 7 friend or complete stranger extensive online feature increase your skill increase your stat and get creative with trophy shot take part in competition and climb the leaderboard or go on challenging mission to earn achievement join the big and friendly online hunting community we be all about help and share our achievement show off that incredible set of antler proudly mount in your private trophy lodge or check out other accomplished hunter haul for inspiration have trouble track and harvesting that big one ask the community many of whom be real life hunter and get a help hand progress and acquire item in the gamein thehunter classic a generous amount of content be available for free right at the outset five huntable species whitetail deer european rabbit and pheasant plus two more animal rotate weekly two weapon 243 bolt action rifle 12 ga single shot shotgun and a great equipment loadout be available at no cost additional item such as weapon species license and ammunition can be acquire with gm in game currency that can be earn through play the game or em in game currency that can be purchase for real life money or earn through win in game competition by hunt certain specie and use certain item in the game you be able to hone your skill and improve as a hunter as these skill increase more ability unlock with time and practice you will be able to tell weight and gender from a simple animal track and develop steady aim for a range of weapon achievement can be earn through diverse in game activity each achievement add to your hunterscore which can be use to track and compare your progress with other hunter increase your hunterscore also unlock upgrade item such as pouch and holster for your rifle
Governor of Poker 3,"OrangeGames, YoudaGames ",OrangeGames ,"['Free to Play', 'Card Game', 'Casual', 'Massively Multiplayer', 'Simulation', 'Gambling', 'Multiplayer']",governor of poker 3 be the best free multiplayer poker game with a great design in this multi player version of governor of poker you compete live with thousand of real poker player to prove you be the good and number 1 texas hold em poker star become a poker pro be a long journey through texas you will start as a rookie and work yourself all the way up to become a vip poker player a high roller to end up win high stake game in the gold area great game feature 7 different poker format cash game sit go tournament push or fold spin and play head up big win and royal poker poker team team up with friend and win challenge chest play blackjack 21 many different betting amount big free welcome package of poker chip gold and a cowboy or cowgirl hat free chip stack bonus every 4 hour distinguish yourself by win badge and trophy with your poker skill cross platform game play against mobile android and ios steam and web player play with poker buddy make friend invite them to play with you at the same table and send chip gift complete poker achievement and win gold coin and xp point chat with other hold em player through chat and animate emoticon use them to bluff or taunt player so you win the poker hand connect your email and continue play your steam poker progress on your android or apple ios device what be you wait for download and join the most exciting poker adventure now note the game be intend for an adult audience e g intend for use by those 21 or old the game do not offer real money gambling or an opportunity to win real money or prize e g the game be for amusement purpose only practice or success at social casino gaming do not imply future success at real money gambling
Eternal Card Game,Dire Wolf Digital ,Dire Wolf Digital ,"['Free to Play', 'Card Game', 'Strategy', 'Trading Card Game', 'Casual', 'Massively Multiplayer', 'Multiplayer', 'Early Access', 'Singleplayer']",the game have changedsix gun and sorcery collide in eternal the strategy card game of unlimited choice and unbelievable fun eternal offer the good of both world rich deep strategic gameplay and counterplay with fast spell and tactical combat next gen mobile friendly digital design with quick smooth and intuitive gameplay all wrap up with exciting digital mechanic and the most generous game economy out there play what you wanteternal be the most truly generously free to play digital card game you can find be committed to give player the card they need and the creative freedom to build any deck you can imagine every card and every game mode in eternal can be play for free without ever pay a dime the only limit be your imagination eternal have no restriction on which card can be play together in your deck play how you wanteternal have a variety of game mode to suit any player tournament test your mettle in competitive play with cash prize event frequent event introduce fun new twist and temporary rule rank grab your favorite construct deck and battle for the top spot on month long leaderboard casual pull off wacky combo in fun pick up game jank welcome draft build a deck on the fly from 48 card pass by other player and keep what you draft seal league crack 14 pack and build your way to victory in a month long seal league promo quest each month introduce a new card that can be earn for free during special promo quest campaign join the battle for the eternal throne in story drive pve campaign that introduce new card to the game forge level up your game against the ai in forge pick card for your deck from set of three and see how far you can go gauntlet learn new trick in the gauntlet test your construct deck against ai opponent and wild boss power design by the good professional tcg player in the world play when you wanteternals cross platform play bring your deck and your collection anywhere you want to be your account go with you to just about anywhere so there s always time for a lightning fast game eternal be available on pc on steam xbox one microsoft storeandroid phone and tabletsios phone and tablet
Black Squad,NS STUDIO ,"NS STUDIO, NEOBRICKS ","['Early Access', 'Free to Play', 'FPS', 'Multiplayer', 'Shooter', 'Action', 'Military', 'First-Person', 'PvP', 'Singleplayer', 'Massively Multiplayer', 'Co-op', 'Tactical', 'War', 'Team-Based', 'Early Access', 'Violent', 'Open World', 'Strategy', 'Gore']",black squad be a military first person shooter game use the unreal engine 3 to show realistic graphic and dynamic visual absolutely no pay to win welcome to the good f2p shooter on the market battleye support dedicated server great shooting mechanic and amazing netcode easy to adapt and a shooting game orient for mass military lover one of the most play game on steam join hundred of thousand of other black squad player worldwide whether you be reach your 10th hour of gameplay or 100th there s always something new to learn practice and perfect black squad be update regularly to improve gameplay feature and item alongside new and fresh content to keep you entertain no money necessary just pure skillsno money no problem black squad be a free fps available for absolutely everyone no payment no microtransaction no money be necessary to play and succeed all item and weapon be purchasable with in game currency real money can be use to purchase cosmetic item now be your chance to really improve your skill as a pure fps gamer action packedblack squad offer a wide range of weapon map mode and character with this much variety of weapon map and mode to choose from every game be a new experience you will need to stay alert and adapt to new strategy and tactic black squad give you the freedom to play how you want to figure out your own combat style and what work for you like to get up close and personal a stealthy assassin attack from afar maybe a master of all play with your friend or make new one connect with your friend join a clan or create your own we feature regular clan war and a clan rank system battle it out prove your skill and work your way to the top do not forget to join our official discord get support come across a problem nee some help have a suggestion we have a dedicated support center here to help you all ticket receive response within 24 48 hour working day we offer support for multiple language english spanish portuguese french german russian and chinese
Freestyle 2: Street Basketball,Joycity ,Joycity ,"['Free to Play', 'Basketball', 'Sports', 'Multiplayer', 'Massively Multiplayer', 'Action', 'Co-op', 'Casual', 'Competitive', 'Strategy', 'Singleplayer', 'Simulation', 'e-sports', 'Controller', 'Open World', 'Anime', 'Great Soundtrack', 'Funny', 'FPS', '2D']",freestyle 2 be the ultimate online street basketball game experience a superior gameplay of basketball and perform freestyle street basketball move enjoy the excitement of vibrant street basketball with its unique cel shaded graphic and game experience one player one character pick a character base on their position move up in the league choose the progression depend on your favorite playstyle test your teamwork with other basketball player online and showem what you get key feature position center power forward small forward shoot guard and point guard skill create your own play style with over 30 move include shoot and pass skill tournament crew team up with your crewmate and win in a tournament for a chance at great item and prize customization customize your character look choose from a wide range of outfit hairstyle shoe accessory to make your own fashion statement tutorial train exclusive tutorial on how to execute each and every skill in the game
Bless Online,NEOWIZ BLESS STUDIO ,NEOWIZ ,"['MMORPG', 'Open World', 'Massively Multiplayer', 'RPG', 'Adventure', 'Action', 'PvP', 'Sexual Content', 'Free to Play', 'Early Access', 'Character Customization', 'PvE', 'Fantasy', 'Violent', 'Multiplayer', 'Gore', 'Anime', 'Nudity', 'Crafting']",we invite you all to the world of bless online explore the beautiful and breathtake open world face diverse challenge join group battle to decide the fate of huge war while earn reward experience the endless possibility of bless online now 7 distinct race 5 unique classestake the first step in create your character by select your character class and race experience the wide variety in skill combat style and lore with each option race class production and craftingwith a variety of craft skill include weaponry armor handiwork enchantment alchemy and cooking player can pursue whatever aspect of production spark their imagination dungeon challenge yourself with dungeon of vary scale and difficulty battle boss and monster on your path to glory discover the special dungeon where player can obtain rare plant and mineral field battle raidscooperate with other player or pit yourself against them as you fight terrifying boss monster in bless be not just for fight the 660 unique tameable specie can become useful ally through tame take part in the ongoing war between hieron and union in everything from simple duel to 100v100 rvr battle a player prowess will help build their reputation in the bless world
RaceRoom Racing Experience,Sector3 Studios ,"Sector3 Studios, RaceRoom Entertainment AG ","['Racing', 'Free to Play', 'Multiplayer', 'Simulation', 'Driving', 'Sports', 'Singleplayer', 'Action', 'Realistic', 'First-Person', 'Controller', 'Open World', 'Massively Multiplayer', 'Co-op', 'Adventure', 'Online Co-Op', 'VR', 'FPS', 'Casual']",raceroom be the premier free to play racing simulation on pc and home to official race series like dtm wtcr the wtcc and adac gt master enter raceroom and enter the world of a professional race car driver a selection of free to play race car and track be yours to drive with unlimited wheel time in multiplayer and single player game mode sponsor competition and other free to play event allow you to enjoy premium game content at no cost additional car track and livery can be buy individually or as pack inside the game store use an in game currency call vrp which be purchase use your steam wallet key featuresfree to play eat sleep race repeata premium racing simulator be yours free to play on the pc race endlessly alongside the world most talented driver in online multiplayer and single player game mode your dream car be here grab your pickbmw mercedes benz audi chevrolet ford mclaren pagani ruf radical volvo saleen and more to come these manufacturer bring the good mind in race together to dominate the world of motorsport and the machine they create be precision instrument of power perfection and speed we be proud to present them in the digital form for your enjoyment speed be a universal language hit the roadgoing fast be a worldwide pastime and many of the most beautiful point on the globe be home to mile of thrilling blacktop start race and conquer these place for yourself up close and personal stand among the giant of racingno game get you close to professional racing and the driver that make a racing series great raceroom be home to wtcc dtm and adac gt masters with more to come realism every sense touch you will see hear and feel what a race car driver do behind the wheel you will grow smelly from intense focus and the result perspiration and all you control be the taste at the end of the race will it be that of sweet victory or bitter defeat the experience of racing be yours and its unforgettable accessibility racing be a family sportnovice amateur and get real game mode cater to driver of all ability this game be fit for the entire family so start drive today with your steering wheel keyboard or gamepad the pursuit of perfection single playerrefine your skill against intelligent and challenging computer drive opponent use the adaptive a i which automatically adjust opponent difficulty base on your performance or customize opponent difficulty to your liking defeat the competition online multiplayerline up with a grid of twenty four player as you battle new friend and rival in online multiplayer race competition capture glorycompete against the world great driver in sponsor competition from mercedes benz euronics dtm adac gt masters and more these competition also allow free player access to premium content throughout the duration of most event fast pace gameplaybe ready to break a sweat racing be the ultimate in twitch gameplay no time for break no room for mistake you be on point or you be into the weed push harder go faster and reap the reward of an adrenalin induce smile important info dlc purchasing policyr3e user account be associate with the user steam account for security and transaction through steam wallet a steam account can use multiple r3e account by use the switch account function in the r3e account setting upon purchase an r3e dlc via the steam store an r3e user account will be permanently associate with that steam account and it will no longer be possible to switch account the option to switch account will be permanently remove from the r3e account setting
